Reviews,Delivery,Customer Service,Purchase Date,LikeliHood To Recommend,Overall Satisfaction,Location,Date Published
Because I think I couldn't have wished for a better service,2,2,16 November 2017,100%,OverallSatisfied,Peacehaven,01 December 2017
Could not fault the service.,2,2,16 November 2017,100%,OverallSatisfied,Malton,01 December 2017
always polite delivery people with as usual very good service.,2,2,16 November 2017,100%,OverallSatisfied,Loftus Cleveland.,01 December 2017
I was happy with the service,2,2,16 November 2017,100%,OverallSatisfied,Oldham,01 December 2017
Service and value for money.,2,2,16 November 2017,100%,OverallSatisfied,Dunfermline,30 November 2017
"ease of ordering
Prompt delivery by professional  and helpful people.",2,2,15 November 2017,100%,OverallSatisfied,Reading,12 January 2018
Because of the communication channels being so easy and effective to use e.g. contacting the driver.,2,2,15 November 2017,100%,OverallSatisfied,Glasgow,12 December 2017
No problems at all with any of my dealings.,2,2,15 November 2017,100%,OverallSatisfied,Preston,30 November 2017
As abovemi,2,2,15 November 2017,80%,OverallSatisfied,West Midlands,30 November 2017
I had peace of mind on my purchase without any difficulties.,2,2,15 November 2017,80%,OverallSatisfied,LONDON,30 November 2017
All went according to plan...,2,2,14 November 2017,100%,OverallSatisfied,Stamford,28 November 2017
because it had chip on enamel at top left hand corner and plate seems to have a twist  in it LOOKS LIKE iT HAS BEEN DROPPED<,2,2,09 October 2017,50%,OverallUnhappy,Kilbirnie,27 October 2017
Pleased with product & delivery.,2,2,09 October 2017,100%,OverallSatisfied,Winsford Cheshire,26 October 2017
Staff on phone very helpful and delivery drivers very courteous and careful removing old appliance and fitting new one,2,2,09 October 2017,100%,OverallSatisfied,Bridge if Weir,25 October 2017
easy to select products and arrange delivery times to suit.,2,2,09 October 2017,100%,OverallSatisfied,leominster,25 October 2017
Very easy to order and delivery was on time. The delivery men were helpful and friendly,2,2,09 October 2017,100%,OverallSatisfied,Houghton Regis,25 October 2017
Quick friendly  easy to order and good amount of choice,2,2,09 October 2017,100%,OverallSatisfied,LITTLEHAMPTON,25 October 2017
As above,2,2,09 October 2017,100%,OverallSatisfied,Derby,25 October 2017
Couldn't find anything to complain about,2,2,09 October 2017,100%,OverallSatisfied,,24 October 2017
Bcouse service was so good I could not bleave how well I was treated from start to finish,2,2,09 October 2017,100%,OverallSatisfied,Newark on trent,24 October 2017
There is always room for improvement.,2,2,09 October 2017,90%,OverallSatisfied,Waterlòville,24 October 2017
good pre delivery coms,2,2,08 October 2017,80%,OverallSatisfied,St Ives,31 October 2017
"Everything you said you would do, you did.",2,2,08 October 2017,100%,OverallSatisfied,Liversedege,24 October 2017
See above.,2,2,07 October 2017,100%,OverallSatisfied,Aberdeen,25 October 2017
"Because I believe that if you get good service from a company people know about it, as good service from a lot companies now is rare.",2,2,04 October 2017,100%,OverallSatisfied,Northampton,20 October 2017
Because every thing was easy to buy and came on time so I was very happy with the service.,2,2,03 October 2017,100%,OverallSatisfied,Clunderwen,19 October 2017
All good. Thank you,2,2,03 October 2017,100%,OverallSatisfied,Telford,19 October 2017
"Delivery day would prefer to be given a morning or afternoon slot when ordered.
Delivery estimated time  was changed on day of delivery making planning difficult",2,2,03 October 2017,80%,OverallSatisfied,Wellington,19 October 2017
already explained,2,2,03 October 2017,80%,OverallSatisfied,Southampton,19 October 2017
"Ease of use, speed and information regarding delivery.",2,2,03 October 2017,100%,OverallSatisfied,Horncastle,19 October 2017
"Great web site.  Quick delivery helped our emergency and no frozen food was wasted.
Disposed of old freezer. Good price.",2,2,03 October 2017,100%,OverallSatisfied,Whaley Bridge,19 October 2017
Cos of the discount,2,2,03 October 2017,100%,OverallSatisfied,Teesside,19 October 2017
"Pleased with product, good price and perfect delivery",2,2,03 October 2017,100%,OverallSatisfied,"Ashford, Kent",18 October 2017
The whole experience went so smoothly and your staff were so friendly and helpful.   Thank you.,2,2,03 October 2017,100%,OverallSatisfied,Drybrook,18 October 2017
Very good service,2,2,03 October 2017,100%,OverallSatisfied,Leominster,18 October 2017
Your service was excellent and I would recommend ao to anybody thanks,2,2,03 October 2017,100%,OverallSatisfied,Moreton Wirral,18 October 2017
friendly helpful staff,2,2,03 October 2017,90%,OverallSatisfied,,18 October 2017
Easy to collect,2,2,03 October 2017,100%,OverallSatisfied,Hook,17 October 2017
As above,2,2,03 October 2017,100%,OverallSatisfied,Derby,17 October 2017
"The staff are always very helpful, friendly and knowledgeable",2,2,02 October 2017,100%,OverallSatisfied,Southampton,24 October 2017
"As stated above, the assistant was very helpful, the delivery was quick.",2,2,02 October 2017,100%,OverallSatisfied,Salisbury,21 October 2017
Couldn't ask for more helpful people,2,2,02 October 2017,100%,OverallSatisfied,Sudbury,18 October 2017
Very quick delivery,2,2,02 October 2017,100%,OverallSatisfied,Stokenchurch,18 October 2017
AO is easy to use and delivers quality at a reasonable price,2,2,02 October 2017,100%,OverallSatisfied,Bilston,18 October 2017
Exceptional service,2,2,02 October 2017,100%,OverallSatisfied,Neath,17 October 2017
Good range of items,2,2,02 October 2017,80%,OverallSatisfied,Reading Berks,17 October 2017
"Good price, good service with delivery and well fitted on delivery. I could not have asked for more",2,2,02 October 2017,100%,OverallSatisfied,Horsham,17 October 2017
Excellent service from start to finish.,2,2,02 October 2017,100%,OverallSatisfied,Liverpool,16 October 2017
Kept in contact every step of the order,2,2,02 October 2017,100%,OverallSatisfied,Reepham,16 October 2017
No issues what so ever seamless experience,2,2,02 October 2017,100%,OverallSatisfied,Denny,16 October 2017
Gave you a 10 score because you kept me informed about my delivery also delivered before the time l was given. Excellent .,2,2,02 October 2017,100%,OverallSatisfied,London,16 October 2017
Had it been a  little quieter I would have given it a ten.,2,2,01 October 2017,90%,OverallSatisfied,Oxted,17 October 2017
No problems with AO gods delivered on day and on time.,2,2,01 October 2017,90%,OverallSatisfied,Dundee,17 October 2017
Always had excellent service,2,2,01 October 2017,100%,OverallSatisfied,Telford,16 October 2017
"apart ,from the early delivery.7.15am!!!!! I found the machine was delivered and set up by two polite and helpful men .I would certainly use again and have already recommended you to friends",2,2,01 October 2017,100%,OverallSatisfied,oldham,16 October 2017
Good experience from start to finish.,2,2,01 October 2017,90%,OverallSatisfied,West Lothian,16 October 2017
The ordering was easy and very pleasantly surprised to find that they delivered on a Sunday.,2,2,01 October 2017,90%,OverallSatisfied,coventry,16 October 2017
You deserve it,2,2,30 September 2017,100%,OverallSatisfied,Aylesbury,07 November 2017
Needed products quickly and good price,2,2,30 September 2017,100%,OverallSatisfied,Liskeard,22 October 2017
GREAT,2,2,30 September 2017,100%,OverallSatisfied,SKEGNESS,16 October 2017
Knew exactly when it was coming,2,2,30 September 2017,100%,OverallSatisfied,Flitwick,15 October 2017
Easy ordering and delivered on time,2,2,30 September 2017,100%,OverallSatisfied,Hebburn,15 October 2017
As above !!,2,2,30 September 2017,100%,OverallSatisfied,Alexandria.,15 October 2017
"Best company to deal for customer service, always have discounts & offers each month. Delivery service is fantastic, always turn up the day you choose. 
Prefer these over Argos or Currys which take forever to deliver with most of there items, they tell you when there delivering it never giving you choice or let you down with delivery without letting you know. Love the fact they take your old item away free of charge every time iv placed an order, saving you hassle of disposing it & they take packaging away. Offers there own cheap life insurance plan for the items purchased, which I like because with housing insurance you have pay excess & with them you don't.",2,2,30 September 2017,100%,OverallSatisfied,MANSFIELD,15 October 2017
"Very good customer service, when you are buying expensive products it’s nice that you feel valued.",2,2,30 September 2017,100%,OverallSatisfied,Raglan,15 October 2017
I’m happy with AO but not the product I bought.,2,2,30 September 2017,100%,OverallSatisfied,"Bushey/Watford, Herts",14 October 2017
Very polite and efficient delivery people,2,2,30 September 2017,100%,OverallSatisfied,Ascot Berkshire,04 October 2017
Very helpful when organising my washing machine delivery date,2,2,29 September 2017,100%,OverallSatisfied,Liverpool,17 October 2017
"Good communication regards delivery. Equipment fitted quickly and efficiently, the cost of fitting was 50% of the normal charge, I would have been most disappointed had I paid the full expected charge as it took less than twenty minutes to complete the full process.",2,2,29 September 2017,90%,OverallSatisfied,Biggleswade,15 October 2017
"Initially, contacted an online competitor who said that I could have the fridge/ freezer I wanted, delivered in 7 days which suited me because I was having my kitchen refaced in  5 weeks time. 10 days in I had heard nothing so contacted them to be informed that unfortunately, due to a manufacturing issue, the product I wanted would not be available until 1 month after my kitchen is delivered. Turned to AO.com and from the initial contact was reassured and that I was not to worry. How true they were. Within 24 hours I took delivery of an all singing, all dancing fridge/freezer which puts all other retailers to shame. In future AO.com will be my first port of call before any others.",2,2,29 September 2017,100%,OverallSatisfied,Bridge of Weir,15 October 2017
Phone support. Delivery. And actual product,2,2,29 September 2017,100%,OverallSatisfied,Clacton,14 October 2017
"I have used AO numerous times.I have purchased large item ie,fridge freezer to smaller electrical items. 
Competitive prices on all items,and trouble free purchasing will always bring me back.",2,2,29 September 2017,100%,OverallSatisfied,Preston Lancashire,14 October 2017
Very quick efficient service,2,2,29 September 2017,100%,OverallSatisfied,Newcastle upon tyne,14 October 2017
No problems,2,2,29 September 2017,100%,OverallSatisfied,Doncaster,14 October 2017
"Very easy to use,delivery when you want ..very helpful",2,2,28 September 2017,90%,OverallSatisfied,Crawley,15 October 2017
"I did not give 10/10 because the after sales chap rang me up a few days later to see if everything was OK (nice touch!) but then sneakily tried to sell me extended warranty and insurance. Nice try, but no biscuit...",2,2,28 September 2017,90%,OverallSatisfied,Sittingbourne,14 October 2017
"It was so easy to buy online, every thing was taken care of including disposal of the old appliance and the delivery guys were really helpful and placed the dishwasher next to the opening it was to be fitted in.  Full marks all round.",2,2,28 September 2017,100%,OverallSatisfied,Southampton,14 October 2017
everything was well done,2,2,28 September 2017,100%,OverallSatisfied,Wiltshire,14 October 2017
Can't fault the experience of buying from you,2,2,28 September 2017,100%,OverallSatisfied,Nottingham,13 October 2017
Very good service all round,2,2,28 September 2017,100%,OverallSatisfied,Weston-super-Mare,13 October 2017
no problems every thing went so smoothly,2,2,28 September 2017,100%,OverallSatisfied,peterborough,13 October 2017
"Such bad customer service these days, AO in my opinion still value their customers, delivery excellent service, drivers who smile and care.",2,2,28 September 2017,100%,OverallSatisfied,ELLESMERE  SHROPSHIRE,13 October 2017
Easy to order and keep track of delivery. Then delivered with a smile.,2,2,28 September 2017,100%,OverallSatisfied,Leominster,13 October 2017
"Only ordering once so far, thought removal of old machine was a bit steep bit great service other than that!",2,2,28 September 2017,90%,OverallSatisfied,Wolverhampton,13 October 2017
No problems. Very easy to use,2,2,28 September 2017,100%,OverallSatisfied,Wolverhampton,13 October 2017
I think a 10 is not big it should be 100%,2,2,28 September 2017,100%,OverallSatisfied,Prenton,13 October 2017
Product was great value for money and a good company to deal with,2,2,28 September 2017,100%,OverallSatisfied,Tywyn,13 October 2017
Great machine quick and simple to use,2,2,28 September 2017,100%,OverallSatisfied,Stalham,12 October 2017
"Can not praise the delivery system enough, always kept informed, placed all the goods in situ, as requested, and removed old machines, will always use against local superstores",2,2,27 September 2017,100%,OverallSatisfied,FARNBOROUGH,16 October 2017
"I gave them a high score because I was informed about the delivery of my product from 
the offset of ordering until it arrived and was fully installed.",2,2,27 September 2017,100%,OverallSatisfied,Blyth,13 October 2017
"Trouble free from initial order, excellent communication",2,2,27 September 2017,100%,OverallSatisfied,Torquay,13 October 2017
The delivery was exactly on time with a pre-delivery telephone call from the van driver to provide an exact time of his arrival.,2,2,27 September 2017,100%,OverallSatisfied,Newcastle upon Tyne,13 October 2017
Good prices and service.,2,2,27 September 2017,100%,OverallSatisfied,Bucks,12 October 2017
Great washing machine and service  delivery men great also thank you all,2,2,27 September 2017,100%,OverallSatisfied,Kingsbridge,12 October 2017
Great all round - from the ordering to the little map you can see to locate your driver on delivery day.,2,2,27 September 2017,100%,OverallSatisfied,Croston,12 October 2017
Fast delivery and delivery men were brilliant couldn’t fault them at all,2,2,27 September 2017,100%,OverallSatisfied,"Johnston, Pembrokeshire",12 October 2017
Very satisfied with all aspects .,2,2,27 September 2017,90%,OverallSatisfied,Huddersfield,12 October 2017
Everything about the purchase was first class,2,2,27 September 2017,100%,OverallSatisfied,"Darvel, Ayrshire",12 October 2017
Good price and service,2,2,27 September 2017,90%,OverallSatisfied,Altrincham,12 October 2017
good prices and quick to respond.,2,2,26 September 2017,90%,OverallSatisfied,Nottingham,14 October 2017
"Telesales staff are courteous, friendly, helpful and possess good product knowledge.

Timely, trackable deliveries

Courteous, patient and skilled installation engineers",2,2,26 September 2017,100%,OverallSatisfied,Newcastle-under-Lyme,12 October 2017
"The price of the freezer was the same as with another internet company, but the delivery was free.",2,2,26 September 2017,100%,OverallSatisfied,Carterton,12 October 2017
"I am well-satisfied with the new freezer which, of course, is doing it's job.
Timing of delivery was very good, sooner than expected.
Yes, good results all round.",2,2,26 September 2017,90%,OverallSatisfied,Wolverhampton.,12 October 2017
As stated above,2,2,26 September 2017,100%,OverallSatisfied,Ripon,12 October 2017
"ao are always briolliant. Everything arrives on time, is really good quality and never any issues. Call handlers are very friendly and helpful if there is any cause for a call to be placed.",2,2,26 September 2017,100%,OverallSatisfied,South Warwickshire,12 October 2017
"Quick , easy and professional delivery.",2,2,26 September 2017,100%,OverallSatisfied,Clayton West Huddersfield,12 October 2017
Very fast delvarey on time,2,2,26 September 2017,100%,OverallSatisfied,Canvey Island,12 October 2017
Service was excellent,2,2,26 September 2017,100%,OverallSatisfied,Basingstoke,11 October 2017
"I mentioned I would be buying a washing machine from them in the future and they said because of that, they would drop the recycling charge on my old washer!!!!  Perfect.",2,2,26 September 2017,100%,OverallSatisfied,Alcester,11 October 2017
Excellent service from ordering to delivery.,2,2,26 September 2017,100%,OverallSatisfied,Eastlound,11 October 2017
"good service,friendly employees",2,2,26 September 2017,100%,OverallSatisfied,Hull,11 October 2017
Due to the service AO provides,2,2,26 September 2017,90%,OverallSatisfied,Somerset,11 October 2017
"Polite, knowledgeable. reliable",2,2,26 September 2017,90%,OverallSatisfied,Warwick,11 October 2017
Good customer service,2,2,26 September 2017,100%,OverallSatisfied,Taunton,10 October 2017
As above.,2,2,26 September 2017,100%,OverallSatisfied,Carmarthen,10 October 2017
My appliance was the cheapest I could find with all the settings I needed (speedy 14 minute wash) and the delivery service was nice and speedy following the app too which was great,2,2,26 September 2017,100%,OverallSatisfied,DEVON,10 October 2017
See above,2,2,25 September 2017,100%,OverallSatisfied,"Benfleet, Essex",13 October 2017
Because I cannot find any thing wrong with my first order with Ao.,2,2,25 September 2017,100%,OverallSatisfied,"London,Romford",12 October 2017
very happy with the item delivery and connection,2,2,25 September 2017,90%,OverallSatisfied,Woodford Green,12 October 2017
Excellent service,2,2,25 September 2017,100%,OverallSatisfied,Manchester,11 October 2017
See comments above,2,2,25 September 2017,100%,OverallSatisfied,Croydon,11 October 2017
Functions well but rather noisy .,2,2,25 September 2017,90%,OverallSatisfied,Redcar.,11 October 2017
Excellent all round service from start to finish,2,2,25 September 2017,100%,OverallSatisfied,Poole,10 October 2017
extremely quick response time,2,2,25 September 2017,100%,OverallSatisfied,sheffield,10 October 2017
"When I needed AO, they helped me, and gave support.",2,2,25 September 2017,100%,OverallSatisfied,Liverpool,09 October 2017
"Excellent service.  As I mentioned above, updates of arrival all the way to the front door.  Fast and efficient.",2,2,25 September 2017,100%,OverallSatisfied,Nottingham,09 October 2017
"Required item delivered and installed/working in less than 24 hours.  The only drawback was that I originally was placing the order by internet, only to ""fall at the last post"" when the procedure failed to go beyond the bank credit card check aspect.  I have been led to believe that this can be a regular occurrence.  I completed my order by phone.",2,2,24 September 2017,80%,OverallSatisfied,Bolton,11 October 2017
Very good service and reasonable prices.,2,2,24 September 2017,90%,OverallSatisfied,Preston,10 October 2017
"Product performance equal to or greater than advertised

The Best all round Delivery Service I have experienced,

Ordered Saturday plugged and p!ayed on Sunday by a super customer oriented CrewM",2,2,24 September 2017,100%,OverallSatisfied,Banbury Oxon,09 October 2017
"No complaints, smooth and efficient, UK call centre, would use again no hesitation.",2,2,24 September 2017,100%,OverallSatisfied,Hastings,09 October 2017
Great 👍 ge,2,2,24 September 2017,100%,OverallSatisfied,Manchester,09 October 2017
Great product at a great price and quick delivery.,2,2,24 September 2017,100%,OverallSatisfied,Lowestoft,09 October 2017
Excellent service,2,2,24 September 2017,100%,OverallSatisfied,London,08 October 2017
I have already given my reasons above and the delivery was made with courteousness and efficiency.,2,2,23 September 2017,100%,OverallSatisfied,Rotherham,13 October 2017
Never had any issues with AO every time I have used you good results!,2,2,23 September 2017,90%,OverallSatisfied,Welwyn Garden City,10 October 2017
"Delivery on time,  washer ready to use and the old one took away (extra cost obviously).",2,2,23 September 2017,100%,OverallSatisfied,Wolverhampton,10 October 2017
Very helpful and good delivery,2,2,23 September 2017,100%,OverallSatisfied,St albans,10 October 2017
"AO would have had a 10, but for the annoying phone call trying to sell insurance for the item. The caller was pleasant but pushy and it's very irritating.",2,2,23 September 2017,80%,OverallSatisfied,Llandysul,09 October 2017
Please see above.,2,2,23 September 2017,90%,OverallSatisfied,London,09 October 2017
great service,2,2,23 September 2017,100%,OverallSatisfied,rochford,09 October 2017
"Couldn’t fault the service from ordering to delivery, the delivery men was so friendly and helpful as was the man on the phone directly after I had mAde the order, truly amazing.",2,2,23 September 2017,100%,OverallSatisfied,Nottingham,08 October 2017
"Everything good, it would be better if they could reduce the delivery slot to one hour.
Delivery/installing pair were really good.
Product seems fine, early days.",2,2,23 September 2017,100%,OverallSatisfied,London,08 October 2017
"Service was great, the product is excellent, would recommend to everyone.",2,2,23 September 2017,100%,OverallSatisfied,Dukinfield,08 October 2017
Satisfied with the process of ordering and delivery,2,2,23 September 2017,100%,OverallSatisfied,Manchester,08 October 2017
"No hassle, delivered on time, just the perfect service.",2,2,23 September 2017,100%,OverallSatisfied,Middlesbrough,07 October 2017
Brilliant website and service. Thank you.,2,2,22 September 2017,100%,OverallSatisfied,London,21 October 2017
"This is the second time we have dealt with Ao and both times the service has been 100%.
Could not wish for better.",2,2,22 September 2017,100%,OverallSatisfied,Staines-upon-Thames,18 October 2017
Did want anything delivered at 5:30 am,2,2,22 September 2017,90%,OverallSatisfied,Lincolnshire,13 October 2017
"Friendly fast delivery
Easy ordering and PayPal payments",2,2,22 September 2017,100%,OverallSatisfied,Clacton,12 October 2017
Prices are very reasonable and great quality of products,2,2,22 September 2017,100%,OverallSatisfied,Clydebank,10 October 2017
Value for money and delivered on a day that suits you.,2,2,22 September 2017,90%,OverallSatisfied,Irvine,10 October 2017
Overall very good,2,2,22 September 2017,90%,OverallSatisfied,Poole,10 October 2017
Friendly and efficient staff.,2,2,22 September 2017,100%,OverallSatisfied,Glasgow,10 October 2017
The item that I have got it was very good 😊 i'm really happy,2,2,22 September 2017,100%,OverallSatisfied,London,08 October 2017
Because the whole buying experience was worthy of it.,2,2,22 September 2017,100%,OverallSatisfied,Oldham,08 October 2017
All of the above and the price was competitive.,2,2,22 September 2017,100%,OverallSatisfied,Dover,08 October 2017
"The delivery was very efficient.  Came on time, very friendly",2,2,22 September 2017,100%,OverallSatisfied,"Melbourne, York",08 October 2017
"I was generally pleased with process of purchasing and delivery and was kept well informed throughout. 
Without post order telephone sales pitch, I would have scored ao higher.",2,2,22 September 2017,80%,OverallSatisfied,Manchester,07 October 2017
"Very quick delivery and also got a phone call from your office to confirm details and delivery . 
This I found really good as when ordering online you can sometimes find it hard to change things after you've ordered.",2,2,22 September 2017,100%,OverallSatisfied,Glasgow,07 October 2017
Good choice of products,2,2,22 September 2017,100%,OverallSatisfied,Stockport,07 October 2017
See above,2,2,22 September 2017,100%,OverallSatisfied,Calne,07 October 2017
